feature,mutual_info,f_score,f_pvalue,rf_importance,mutual_info_norm,f_score_norm,rf_importance_norm,composite_score,category
is_weekend,0.08602717421902373,8166.123438445374,0.0,0.0003698492383624907,0.11540804117133588,0.0033596161961182373,0.00045997105085834465,0.039742542806104154,Temporal
day_of_week,0.07892512797492257,6336.46155173756,0.0,0.0005300323461922606,0.10588043256648755,0.0026068769368677,0.0006591862574772132,0.03638216525361082,Temporal
day_of_week_sin,0.07001774735020727,5701.8432917538075,0.0,0.0005491569430902663,0.0939309136011351,0.002345789310570481,0.0006829709784390995,0.0323198912967149,Temporal
month_cos,0.06613288066576617,2001.1314909394673,0.0,0.00033284893560099637,0.08871924812062482,0.0008232833875460458,0.0004139548194375812,0.029985495442536148,Temporal
month_sin,0.06562760293503644,285.7583456407004,4.1980034318609255e-64,0.0005992430027743744,0.08804140285044831,0.00011756353837007608,0.0007452615961195749,0.02963474266164599,Temporal
month,0.04079062528425803,149.39049609705384,2.3594026242748257e-34,0.0009337151188941056,0.05472185044954286,6.146058579900044e-05,0.0011612351193193726,0.018648182051553743,Temporal
day,0.014669230013329537,64.80998247566622,8.250269105838252e-16,0.0006362864435176463,0.019679213186985737,2.666340625838482e-05,0.0007913314770297843,0.006832402690091301,Temporal
temp_stress,0.013580797969616532,96.55704435648356,8.67611373929162e-23,3.671799584455545e-05,0.01821904886968268,3.972443136753586e-05,4.5665134282308076e-05,0.006101479478444176,Weather
extreme_hot,0.0071446955929641565,86.4499823239447,1.433854856554063e-20,2.2198524544704154e-05,0.009584823988873161,3.5566295679820415e-05,2.760767794883168e-05,0.0032159993208339377,Weather
extreme_cold,0.00697169527280872,521.8650292976974,1.6913986063276113e-115,2.678477457201195e-05,0.00935273885702493,0.00021469993906313533,3.3311467562945494e-05,0.0032002500878836704,Weather
heavy_precipitation,0.006822824409972172,0.5234691161719944,0.46936563835020106,2.5651515380210008e-05,0.009153024117776257,2.1535987474540745e-07,3.190206511654348e-05,0.0030617138475891818,Weather
day_of_year,0.003277191506068977,156.54521025126076,6.444750218965108e-36,0.0018238688212213197,0.004396450955088141,6.440409917254382e-05,0.002268294135305763,0.0022430497298554825,Temporal
day_of_year_sin,0.00312435326191296,715.0157145941279,1.6768142823148297e-157,0.0012848999977766106,0.004191413854494736,0.0002941638579598549,0.001597993833492593,0.002027857181982395,Temporal
day_of_year_cos,0.002846778326005772,1497.3732654547894,0.0,0.0011560722657466306,0.003819038730911708,0.0006160327494650343,0.0014377744220808299,0.0019576153008191905,Temporal
temp_avg,0.0014165548614011314,1420.8977898247053,6.8629899472183e-311,0.0017265612646743512,0.0019003509443401665,0.000584570055021416,0.0021472754758121372,0.0015440654917245732,Weather
tmin,0.0012887402510384227,1727.6199220705255,0.0,0.0017573852884414365,0.0017288838009758807,0.0007107582826386504,0.002185610443504927,0.0015417508423731527,Weather
tmax,0.0012869435870308532,1083.6045663731084,1.3016052694155463e-237,0.0015983998665679029,0.0017264735221815461,0.00044580460714512953,0.0019878847650795658,0.0013867209648020806,Weather
temp_range,0.00027281131716572204,256.1466948596931,1.1919933892893077e-57,0.001402413362087251,0.0003659845857927254,0.00010538104048015826,0.0017441418853614667,0.0007385025038781169,Weather
prcp,0.0,24.63753631569176,6.919364930751191e-07,0.0006489539927426467,0.0,1.0136102725188188e-05,0.000807085750188818,0.00027240728430466874,Weather
prcp_intensity,0.0,24.63753631569176,6.919364930751191e-07,0.00064639044093507,0.0,1.0136102725188188e-05,0.0008038975332167307,0.00027134454531397293,Weather
combined_extreme,0.0,9.260471083918933,0.002341543123547933,1.6667157093916318e-06,0.0,3.809840602059468e-06,2.072847249125852e-06,1.9608959503951066e-06,Weather
high_risk_season,0.0,,,0.0,0.0,,0.0,,Temporal
